"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","756","test_search_no_results[chromium]","tests.e2e_tests","Fri May 01 07:40:01 UTC 2026","passed","Fri May 01 07:40:01 UTC 2026","","test_negative","",""
"","761","test_search_for_books_with_pom[chromium]","tests.UI_tests","Fri May 01 07:39:46 UTC 2026","passed","Fri May 01 07:39:46 UTC 2026","","test_search_for_books","",""
"","4614","test_full_navigation_e2e[chromium]","tests.e2e_tests","Fri May 01 07:39:50 UTC 2026","passed","Fri May 01 07:39:55 UTC 2026","","test_e2e_flow","",""
"","948","test_e2e_open_article[chromium]","tests.e2e_tests","Fri May 01 07:40:08 UTC 2026","passed","Fri May 01 07:40:09 UTC 2026","","test_search_e2e","",""
"","765","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","Fri May 01 07:40:04 UTC 2026","passed","Fri May 01 07:40:05 UTC 2026","","test_negative1","",""
"","1007","test_verify_articles_api_and_ui[chromium]","tests.API_tests","Fri May 01 07:39:08 UTC 2026","passed","Fri May 01 07:39:09 UTC 2026","","test_api1","",""
"","996","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Fri May 01 07:39:11 UTC 2026","passed","Fri May 01 07:39:12 UTC 2026","","test_account_button","",""
"","874","test_navigation_menu_responsive[chromium]","tests.UI_tests","Fri May 01 07:39:32 UTC 2026","passed","Fri May 01 07:39:33 UTC 2026","","test_navigation","",""
"","793","test_search_no_results_parametrized[chromium-1234567890-digits]","tests.e2e_tests","Fri May 01 07:40:03 UTC 2026","passed","Fri May 01 07:40:04 UTC 2026","","test_negative1","",""
"","6519","test_search_for_books[chromium]","tests.UI_tests","Fri May 01 07:39:37 UTC 2026","passed","Fri May 01 07:39:44 UTC 2026","","test_search_books_bytitle","",""
"Проверяет доступность подразделов сайта","620","test_sections_availability[books-Books]","tests.API_tests","Fri May 01 07:40:10 UTC 2026","passed","Fri May 01 07:40:10 UTC 2026","","test_api","",""
"","668","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Fri May 01 07:39:24 UTC 2026","passed","Fri May 01 07:39:25 UTC 2026","","test_home_page","",""
"","962","test_open_first_book[chromium]","tests.UI_tests","Fri May 01 07:39:36 UTC 2026","passed","Fri May 01 07:39:37 UTC 2026","","test_open_first_book","",""
"","668","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Fri May 01 07:39:36 UTC 2026","passed","Fri May 01 07:39:36 UTC 2026","","test_newsletter_subscription","",""
"","3387","test_login_success[chromium]","tests.UI_tests","Thu Apr 30 13:37:25 UTC 2026","broken","Thu Apr 30 13:37:29 UTC 2026","TestLogin","test_login","",""
"","288","test_main_page_performance","tests.API_tests","Fri May 01 07:39:05 UTC 2026","passed","Fri May 01 07:39:06 UTC 2026","","test_api","",""
