"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1026","test_search_clear[chromium]","tests.e2e_tests","Sun May 10 19:58:37 UTC 2026","passed","Sun May 10 19:58:38 UTC 2026","","test_negative","",""
"","1901","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Sun May 10 19:58:30 UTC 2026","passed","Sun May 10 19:58:32 UTC 2026","","test_search_content","",""
"","410","test_api_performance","tests.API_tests","Sun May 10 19:58:18 UTC 2026","passed","Sun May 10 19:58:19 UTC 2026","","test_api","",""
"","1552","test_open_first_book[chromium]","tests.UI_tests","Sun May 10 19:58:29 UTC 2026","passed","Sun May 10 19:58:30 UTC 2026","","test_open_first_book","",""
"","78","test_filter_by_name[Sally]","tests.API_tests","Sun May 10 19:58:44 UTC 2026","passed","Sun May 10 19:58:44 UTC 2026","TestBookerAPI","test_restful_booker","",""
"","449","test_get_booking_headers","tests.API_tests","Sun May 10 19:58:18 UTC 2026","passed","Sun May 10 19:58:18 UTC 2026","","test_api","",""
"","338","test_api_ping","tests.API_tests","Sun May 10 19:58:44 UTC 2026","passed","Sun May 10 19:58:44 UTC 2026","TestBookerAPI","test_restful_booker","",""
"Проверяет доступность подразделов сайта","19068","test_sections_availability[tools-Tools]","tests.API_tests","Wed May 06 19:18:50 UTC 2026","broken","Wed May 06 19:19:09 UTC 2026","","test_api","",""
"","3745","test_independent_flow[chromium]","tests.e2e_tests","Sun May 10 19:58:35 UTC 2026","passed","Sun May 10 19:58:39 UTC 2026","","test_independent_flow","",""
"","1212","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Sun May 10 19:58:35 UTC 2026","passed","Sun May 10 19:58:36 UTC 2026","","test_navigation_books_section_e2e","",""
"","1248","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Sun May 10 19:58:46 UTC 2026","passed","Sun May 10 19:58:47 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","1054","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Sun May 10 19:58:22 UTC 2026","passed","Sun May 10 19:58:23 UTC 2026","","test_account_button","",""
"Позитивный тест: должен пройти со словом AI","3539","test_search_valid_book[chromium]","tests.UI_tests","Sun May 10 19:58:26 UTC 2026","passed","Sun May 10 19:58:30 UTC 2026","","test_for_books_new","",""
"","4486","test_search_works[chromium]","tests.UI_tests","Sun May 10 19:58:29 UTC 2026","skipped","Sun May 10 19:58:33 UTC 2026","TestUI","test_login","",""
"","5376","test_full_navigation_e2e[chromium]","tests.e2e_tests","Sun May 10 19:58:41 UTC 2026","passed","Sun May 10 19:58:46 UTC 2026","","test_e2e_flow","",""
"","2101","test_verify_articles_api_and_ui[chromium]","tests.API_tests","Sun May 10 19:58:19 UTC 2026","passed","Sun May 10 19:58:21 UTC 2026","","test_api1","",""
"","6797","test_search_for_books[chromium]","tests.UI_tests","Sun May 10 19:58:30 UTC 2026","passed","Sun May 10 19:58:37 UTC 2026","","test_search_books_bytitle","",""
"","266","test_filter_bookings_by_name[Jim-Ericsson]","tests.API_tests","Sun May 10 19:58:19 UTC 2026","passed","Sun May 10 19:58:19 UTC 2026","","test_api","",""
"","997","test_account_form_opens[chromium]","tests.e2e_tests","Sun May 10 19:58:36 UTC 2026","passed","Sun May 10 19:58:37 UTC 2026","","test_negative","",""
"","1845","test_navigation_to_books[chromium]","tests.UI_tests","Sun May 10 19:58:25 UTC 2026","passed","Sun May 10 19:58:27 UTC 2026","","test_navigation_to_books","",""
"","3894","test_navigate_to_books[chromium]","tests.UI_tests","Thu Apr 30 13:38:17 UTC 2026","passed","Thu Apr 30 13:38:21 UTC 2026","TestNavigation","test_login","",""
"","19129","test_main_page_status","tests.API_tests","Wed May 06 19:16:57 UTC 2026","broken","Wed May 06 19:17:16 UTC 2026","","test_api","",""
