"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","957","test_search_opens[chromium]","tests.UI_tests","Wed Apr 29 20:31:44 UTC 2026","passed","Wed Apr 29 20:31:45 UTC 2026","","test_search_opens","",""
"","968","test_account_button_is_visible_after_login[chromium]","tests.UI_tests","Wed Apr 29 20:30:57 UTC 2026","passed","Wed Apr 29 20:30:58 UTC 2026","","test_account_button","",""
"","895","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Wed Apr 29 20:31:23 UTC 2026","passed","Wed Apr 29 20:31:24 UTC 2026","","test_home_page","",""
"","961","test_search_for_books_with_pom[chromium]","tests.UI_tests","Wed Apr 29 20:31:43 UTC 2026","passed","Wed Apr 29 20:31:44 UTC 2026","","test_search_for_books","",""
"","940","test_search_no_results[chromium]","tests.e2e_tests","Wed Apr 29 20:32:00 UTC 2026","passed","Wed Apr 29 20:32:01 UTC 2026","","test_negative","",""
"","1307","test_open_first_book[chromium]","tests.UI_tests","Wed Apr 29 20:31:33 UTC 2026","passed","Wed Apr 29 20:31:34 UTC 2026","","test_open_first_book","",""
"","980","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Wed Apr 29 20:32:05 UTC 2026","passed","Wed Apr 29 20:32:06 UTC 2026","","test_negative1","",""
"","3711","test_independent_flow[chromium]","tests.e2e_tests","Wed Apr 29 20:31:54 UTC 2026","passed","Wed Apr 29 20:31:57 UTC 2026","","test_independent_flow","",""
"","471","test_main_page_content_integrity","tests.API_tests","Wed Apr 29 20:30:51 UTC 2026","passed","Wed Apr 29 20:30:51 UTC 2026","","test_api","",""
"Проверяет, что заголовок из UI присутствует в коде API","1517","test_latest_article_consistency[chromium]","tests.API_tests","Wed Apr 29 20:30:53 UTC 2026","passed","Wed Apr 29 20:30:54 UTC 2026","","test_api","",""
"","974","test_search_no_results_parametrized[chromium-1234567890-digits]","tests.e2e_tests","Wed Apr 29 20:32:03 UTC 2026","passed","Wed Apr 29 20:32:04 UTC 2026","","test_negative1","",""
"Негативный тест: проверка отсутствия результатов","18231","test_search_negative_no_results[chromium]","tests.UI_tests","Wed Apr 29 20:31:05 UTC 2026","passed","Wed Apr 29 20:31:23 UTC 2026","","test_for_books_new","",""
"","1123","test_e2e_open_article[chromium]","tests.e2e_tests","Wed Apr 29 20:32:08 UTC 2026","passed","Wed Apr 29 20:32:09 UTC 2026","","test_search_e2e","",""
