"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","680","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Sun Apr 26 23:24:11 UTC 2026","passed","Sun Apr 26 23:24:11 UTC 2026","","test_newsletter_subscription","",""
"","1064","test_e2e_open_article[chromium]","tests.e2e_tests","Sun Apr 26 23:24:46 UTC 2026","passed","Sun Apr 26 23:24:47 UTC 2026","","test_search_e2e","",""
"","888","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Sun Apr 26 23:24:36 UTC 2026","passed","Sun Apr 26 23:24:37 UTC 2026","","test_navigation_books_section_e2e","",""
"","670","test_main_page_status","tests.API_tests","Sun Apr 26 23:23:32 UTC 2026","passed","Sun Apr 26 23:23:33 UTC 2026","","test_api","",""
"","768","test_search_for_books_with_pom[chromium]","tests.UI_tests","Sun Apr 26 23:24:21 UTC 2026","passed","Sun Apr 26 23:24:22 UTC 2026","","test_search_for_books","",""
"","6543","test_search_for_books[chromium]","tests.UI_tests","Sun Apr 26 23:24:13 UTC 2026","passed","Sun Apr 26 23:24:19 UTC 2026","","test_search_books_bytitle","",""
"","888","test_navigation_menu_responsive[chromium]","tests.UI_tests","Sun Apr 26 23:24:07 UTC 2026","passed","Sun Apr 26 23:24:08 UTC 2026","","test_navigation","",""
"","1558","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Sun Apr 26 23:24:19 UTC 2026","passed","Sun Apr 26 23:24:21 UTC 2026","","test_search_content","",""
"","1233","test_search_via_iframe[chromium]","tests.e2e_tests","Sun Apr 26 23:24:47 UTC 2026","passed","Sun Apr 26 23:24:49 UTC 2026","","test_search_via_iframe","",""
"","698","test_homepage_visual_layout[chromium]","tests.UI_tests","Sun Apr 26 23:24:06 UTC 2026","passed","Sun Apr 26 23:24:07 UTC 2026","","test_navigation","",""
"","743","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Sun Apr 26 23:24:43 UTC 2026","passed","Sun Apr 26 23:24:44 UTC 2026","","test_negative1","",""
"Проверяет, что заголовок из UI присутствует в коде API","1205","test_latest_article_consistency[chromium]","tests.API_tests","Sun Apr 26 23:23:34 UTC 2026","passed","Sun Apr 26 23:23:35 UTC 2026","","test_api","",""
"Негативный тест: проверка отсутствия результатов","18023","test_search_negative_no_results[chromium]","tests.UI_tests","Sun Apr 26 23:23:44 UTC 2026","passed","Sun Apr 26 23:24:02 UTC 2026","","test_for_books_new","",""
"","765","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Sun Apr 26 23:24:03 UTC 2026","passed","Sun Apr 26 23:24:03 UTC 2026","","test_home_page","",""
"","469","test_main_page_headers","tests.API_tests","Sun Apr 26 23:23:33 UTC 2026","passed","Sun Apr 26 23:23:33 UTC 2026","","test_api","",""
