"BROKEN","CATEGORY","FAILED","PASSED","SKIPPED","UNKNOWN"
"0","Product defects (Assertion errors)","1","0","0","0"
"3","Test defects","0","0","0","0"
"0","Skipped tests","0","0","1","0"
