"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3585","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Fri May 01 08:05:23 UTC 2026","passed","Fri May 01 08:05:27 UTC 2026","","test_navigation_books_section_e2e","",""
"","4526","test_navigate_to_tools[chromium]","tests.UI_tests","Fri May 01 08:04:09 UTC 2026","passed","Fri May 01 08:04:13 UTC 2026","","test_navigate_to_tools","",""
"","3894","test_navigate_to_books[chromium]","tests.UI_tests","Thu Apr 30 13:38:17 UTC 2026","passed","Thu Apr 30 13:38:21 UTC 2026","TestNavigation","test_login","",""
"","355","test_main_page_performance","tests.API_tests","Fri May 01 08:03:14 UTC 2026","passed","Fri May 01 08:03:14 UTC 2026","","test_api","",""
"","3275","test_e2e_open_article[chromium]","tests.e2e_tests","Fri May 01 08:05:47 UTC 2026","passed","Fri May 01 08:05:50 UTC 2026","","test_search_e2e","",""
"","3830","test_search_no_results[chromium]","tests.e2e_tests","Fri May 01 08:05:31 UTC 2026","passed","Fri May 01 08:05:35 UTC 2026","","test_negative","",""
"","3387","test_login_success[chromium]","tests.UI_tests","Thu Apr 30 13:37:25 UTC 2026","broken","Thu Apr 30 13:37:29 UTC 2026","TestLogin","test_login","",""
"Проверяет доступность подразделов сайта","544","test_sections_availability[tag/tools-Tools]","tests.API_tests","Fri May 01 08:05:56 UTC 2026","passed","Fri May 01 08:05:56 UTC 2026","","test_api","",""
"","4230","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Fri May 01 08:06:04 UTC 2026","passed","Fri May 01 08:06:09 UTC 2026","","test_negative1","",""
"","2804","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Fri May 01 08:04:29 UTC 2026","passed","Fri May 01 08:04:32 UTC 2026","","test_newsletter_subscription","",""
"","427","test_main_page_content_integrity","tests.API_tests","Fri May 01 08:03:14 UTC 2026","passed","Fri May 01 08:03:14 UTC 2026","","test_api","",""
"","3791","test_search_clear[chromium]","tests.e2e_tests","Fri May 01 08:05:35 UTC 2026","passed","Fri May 01 08:05:39 UTC 2026","","test_negative","",""
"","7928","test_full_navigation_e2e[chromium]","tests.e2e_tests","Fri May 01 08:05:05 UTC 2026","passed","Fri May 01 08:05:13 UTC 2026","","test_e2e_flow","",""
"","7381","test_search_works[chromium]","tests.UI_tests","Fri May 01 15:24:59 UTC 2026","skipped","Fri May 01 15:25:07 UTC 2026","TestUI","test_login","",""
"","0","test_simple_login_check[chromium]","tests.UI_tests","Thu Apr 30 13:27:00 UTC 2026","broken","Thu Apr 30 13:27:00 UTC 2026","","test_login","",""
"","4997","test_login_success_simulation[chromium-test@example.com-123456]","tests.UI_tests","Fri May 01 08:04:45 UTC 2026","passed","Fri May 01 08:04:50 UTC 2026","","test_search_content","",""
"","3363","test_login_failed[chromium]","tests.UI_tests","Thu Apr 30 13:37:30 UTC 2026","broken","Thu Apr 30 13:37:33 UTC 2026","TestLogin","test_login","",""
"","3608","test_search_no_results_parametrized[chromium-1234567890-digits]","tests.e2e_tests","Fri May 01 08:05:56 UTC 2026","passed","Fri May 01 08:06:00 UTC 2026","","test_negative1","",""
"Проверяет, что заголовок из UI присутствует в коде API","3194","test_latest_article_consistency[chromium]","tests.API_tests","Fri May 01 08:03:16 UTC 2026","passed","Fri May 01 08:03:19 UTC 2026","","test_api","",""
"","3637","test_search_via_iframe[chromium]","tests.e2e_tests","Fri May 01 08:05:51 UTC 2026","passed","Fri May 01 08:05:54 UTC 2026","","test_search_via_iframe","",""
"","2914","test_sign_button_exists_on_homepage[chromium]","tests.UI_tests","Fri May 01 08:03:55 UTC 2026","passed","Fri May 01 08:03:58 UTC 2026","","test_home_page","",""
"","3748","test_account_form_opens[chromium]","tests.e2e_tests","Fri May 01 08:05:27 UTC 2026","passed","Fri May 01 08:05:31 UTC 2026","","test_negative","",""
"","3026","test_home_has_books[chromium]","tests.e2e_tests","Fri May 01 08:05:14 UTC 2026","passed","Fri May 01 08:05:17 UTC 2026","","test_homepage_displays_book_cards","",""
"","340","test_main_page_headers","tests.API_tests","Fri May 01 08:03:13 UTC 2026","passed","Fri May 01 08:03:14 UTC 2026","","test_api","",""
"","4486","test_navigation_to_books[chromium]","tests.UI_tests","Fri May 01 08:04:24 UTC 2026","passed","Fri May 01 08:04:29 UTC 2026","","test_navigation_to_books","",""
"","3630","test_navigation_to_any_menu_item[chromium]","tests.UI_tests","Fri May 01 08:04:20 UTC 2026","passed","Fri May 01 08:04:24 UTC 2026","","test_navigation_to_about","",""
"","3451","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Fri May 01 08:05:43 UTC 2026","passed","Fri May 01 08:05:47 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","3727","test_search_no_results_parametrized[chromium-!@#$%^&*-special_chars]","tests.e2e_tests","Fri May 01 08:05:39 UTC 2026","passed","Fri May 01 08:05:43 UTC 2026","","test_negative1","",""
"","3880","test_search_no_results_parametrized[chromium-\u041e\u0447\u0435\u043d\u044c\u0414\u043b\u0438\u043d\u043d\u0430\u044f\u0421\u0442\u0440\u043e\u043a\u0430\u041a\u043e\u0442\u043e\u0440\u043e\u0439\u041d\u0435\u0442\u041d\u0430\u0421\u0430\u0439\u0442\u0435-long_string]","tests.e2e_tests","Fri May 01 08:06:00 UTC 2026","passed","Fri May 01 08:06:04 UTC 2026","","test_negative1","",""
"Позитивный тест: должен пройти со словом AI","6419","test_search_valid_book[chromium]","tests.UI_tests","Fri May 01 08:03:38 UTC 2026","passed","Fri May 01 08:03:45 UTC 2026","","test_for_books_new","",""
