"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","test_data_structure","tests.API_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:28 UTC 2026","TestBookerAPI","test_restful_booker","",""
"","1563","test_navigation_to_books[chromium]","tests.UI_tests","Sun May 10 19:58:41 UTC 2026","passed","Sun May 10 19:58:43 UTC 2026","","test_navigation_to_books","",""
"","871","test_search_for_books_with_pom[chromium]","tests.UI_tests","Sun May 10 19:58:43 UTC 2026","passed","Sun May 10 19:58:44 UTC 2026","","test_search_for_books","",""
"","92","test_create_and_verify_booking","tests.API_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:28 UTC 2026","","test_api","",""
"","44","test_filter_bookings_by_name[Jim-Ericsson]","tests.API_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:28 UTC 2026","","test_api","",""
"","915","test_newsletter_subscription_page_load[chromium]","tests.UI_tests","Sun May 10 19:58:39 UTC 2026","passed","Sun May 10 19:58:40 UTC 2026","","test_newsletter_subscription","",""
"","54","test_api_performance","tests.API_tests","Sun May 10 19:58:27 UTC 2026","passed","Sun May 10 19:58:27 UTC 2026","","test_api","",""
"","936","test_navigation_books_section_e2e[chromium]","tests.e2e_tests","Sun May 10 19:58:47 UTC 2026","passed","Sun May 10 19:58:48 UTC 2026","","test_navigation_books_section_e2e","",""
"","3387","test_login_success[chromium]","tests.UI_tests","Thu Apr 30 13:37:25 UTC 2026","broken","Thu Apr 30 13:37:29 UTC 2026","TestLogin","test_login","",""
"","1201","test_open_article_and_verify_title[chromium]","tests.e2e_tests","Sun May 10 19:58:52 UTC 2026","passed","Sun May 10 19:58:54 UTC 2026","","test_open_article_and_verify_title_e2e","",""
"","1292","test_search_no_results_parametrized[chromium-    -spaces]","tests.e2e_tests","Sun May 10 19:58:32 UTC 2026","passed","Sun May 10 19:58:33 UTC 2026","","test_negative1","",""
"","19095","test_main_page_content_integrity","tests.API_tests","Wed May 06 19:17:56 UTC 2026","broken","Wed May 06 19:18:15 UTC 2026","","test_api","",""
"","1832","test_navigate_to_tools[chromium]","tests.UI_tests","Sun May 10 19:58:39 UTC 2026","passed","Sun May 10 19:58:41 UTC 2026","","test_navigate_to_tools","",""
"","1350","test_account_form_opens[chromium]","tests.e2e_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:30 UTC 2026","","test_negative","",""
"Позитивный тест: должен пройти со словом AI","3737","test_search_valid_book[chromium]","tests.UI_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:32 UTC 2026","","test_for_books_new","",""
"","4371","test_search_works[chromium]","tests.UI_tests","Sun May 10 19:58:40 UTC 2026","skipped","Sun May 10 19:58:44 UTC 2026","TestUI","test_login","",""
"","1223","test_e2e_open_article[chromium]","tests.e2e_tests","Sun May 10 19:58:52 UTC 2026","passed","Sun May 10 19:58:53 UTC 2026","","test_search_e2e","",""
"","907","test_search_opens[chromium]","tests.UI_tests","Sun May 10 19:58:51 UTC 2026","passed","Sun May 10 19:58:52 UTC 2026","","test_search_opens","",""
"","16","test_filter_by_name[Jim]","tests.API_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:28 UTC 2026","TestBookerAPI","test_restful_booker","",""
"","3363","test_login_failed[chromium]","tests.UI_tests","Thu Apr 30 13:37:30 UTC 2026","broken","Thu Apr 30 13:37:33 UTC 2026","TestLogin","test_login","",""
"","2838","test_search_flow_debug[chromium]","tests.e2e_tests","Sun May 10 19:58:44 UTC 2026","passed","Sun May 10 19:58:47 UTC 2026","","test_about_flow","",""
"","19113","test_main_page_performance","tests.API_tests","Wed May 06 19:17:51 UTC 2026","broken","Wed May 06 19:18:10 UTC 2026","","test_api","",""
"","6710","test_search_for_books[chromium]","tests.UI_tests","Sun May 10 19:58:44 UTC 2026","passed","Sun May 10 19:58:51 UTC 2026","","test_search_books_bytitle","",""
"Проверяет доступность подразделов сайта","19116","test_sections_availability[tag/tools-Tools]","tests.API_tests","Wed May 06 19:18:55 UTC 2026","broken","Wed May 06 19:19:14 UTC 2026","","test_api","",""
"","19110","test_main_page_headers","tests.API_tests","Wed May 06 19:17:43 UTC 2026","broken","Wed May 06 19:18:02 UTC 2026","","test_api","",""
"","27","test_booking_headers","tests.API_tests","Sun May 10 19:58:28 UTC 2026","passed","Sun May 10 19:58:28 UTC 2026","TestBookerAPI","test_restful_booker","",""
"","973","test_search_no_results_parametrized[chromium-\u041f\u0440\u0438\u0432\u0435\u0442\u041c\u0438\u0440-cyrillic]","tests.e2e_tests","Sun May 10 19:58:33 UTC 2026","passed","Sun May 10 19:58:34 UTC 2026","","test_negative1","",""
"Негативный тест: проверка отсутствия результатов","6429","test_search_negative_no_results[chromium]","tests.UI_tests","Sun May 10 19:58:32 UTC 2026","passed","Sun May 10 19:58:38 UTC 2026","","test_for_books_new","",""
"Проверяет доступность подразделов сайта","19068","test_sections_availability[tools-Tools]","tests.API_tests","Wed May 06 19:18:50 UTC 2026","broken","Wed May 06 19:19:09 UTC 2026","","test_api","",""
"","54","test_get_booking_headers","tests.API_tests","Sun May 10 19:58:27 UTC 2026","passed","Sun May 10 19:58:27 UTC 2026","","test_api","",""
